"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.further.assessed","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"1438","GATESHEAD HEALTH NHS FOUNDATION TRUST","RR7","280","302","93%","37","37","100%","18","19","95%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1439","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE","560","707","79%","69","69","100%","30","30","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1440","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","RN3","392","457","86%","84","92","91%","39","41","95%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1441","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","RJ1","205","219","94%","60","83","72%","27","28","96%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1442","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","RN5","400","544","74%","-","-","-","-","-","-"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1443","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","RCD","168","178","94%","26","26","100%","22","22","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1444","HEART OF ENGLAND NHS FOUNDATION TRUST","RR1","925","1330","70%","174","186","94%","11","18","61%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1445","HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST","RD7","407","444","92%","45","49","92%","22","23","96%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1446","HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RQX","218","242","90%","218","242","90%","51","51","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1447","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP","286","301","95%","39","42","93%","23","23","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1448","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ","184","279","66%","139","184","76%","28","50","56%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1449","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RJZ","345","489","71%","86","86","100%","60","63","95%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1450","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RXN","397","431","92%","113","113","100%","97","99","98%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1451","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","41","41","100%","4","4","100%","2","2","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1452","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","1","1","100%","0","0","-","0","0","-"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1453","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9","329","344","96%","18","20","90%","4","4","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1454","MEDWAY NHS FOUNDATION TRUST","RPA","280","300","93%","65","65","100%","56","56","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1455","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","234","247","95%","33","33","100%","33","33","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1456","MID STAFFORDSHIRE NHS FOUNDATION TRUST","RJD","179","189","95%","26","26","100%","20","20","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1457","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8","75","318","24%","10","10","100%","2","6","33%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1458","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","651","691","94%","71","73","97%","71","71","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1459","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RVW","282","300","94%","93","93","100%","13","13","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1460","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","RJL","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1461","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RTF","481","486","99%","75","82","91%","3","3","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1462","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM","11","11","100%","2","2","100%","0","0","-"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1463","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST","RGN","560","607","92%","336","338","99%","88","90","98%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1464","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RPC","10","10","100%","1","1","100%","1","1","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1465","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RHW","435","472","92%","150","150","100%","73","73","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1466","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RT3","23","24","96%","0","0","-","0","0","-"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1467","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RH8","191","578","33%","71","191","37%","80","81","99%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1468","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL","173","212","82%","173","173","100%","62","62","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1469","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2","284","302","94%","71","73","97%","33","35","94%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1470","SALFORD ROYAL NHS FOUNDATION TRUST","RM3","306","306","100%","42","42","100%","1","1","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1471","SALISBURY NHS FOUNDATION TRUST","RNZ","114","130","88%","18","20","90%","18","19","95%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1472","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RHQ","726","731","99%","238","238","100%","138","138","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1473","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5","527","533","99%","27","27","100%","24","24","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1474","SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST","RA9","111","399","28%","30","34","88%","16","16","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1475","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RTR","513","570","90%","83","88","94%","34","35","97%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1476","SOUTH TYNESIDE NHS FOUNDATION TRUST","RE9","300","325","92%","110","120","92%","21","21","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1477","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC","157","276","57%","0","0","-","0","0","-"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1478","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ","334","375","89%","128","128","100%","70","70","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1479","STOCKPORT NHS FOUNDATION TRUST","RWJ","448","538","83%","27","37","73%","14","21","67%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1480","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","RMP","240","368","65%","1","11","9%","0","1","0%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1481","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA","273","440","62%","67","67","100%","28","28","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1482","THE CHRISTIE NHS FOUNDATION TRUST","RBV","25","26","96%","2","2","100%","1","1","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1483","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","REN","12","12","100%","2","2","100%","1","1","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1484","THE DUDLEY GROUP NHS FOUNDATION TRUST","RNA","532","537","99%","136","136","100%","70","70","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1485","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS","169","233","73%","28","39","72%","1","3","33%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1486","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RTD","458","505","91%","76","82","93%","68","73","93%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1487","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX","274","297","92%","48","48","100%","48","48","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1488","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RL1","-","-","-","-","-","-","-","-","-"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1489","THE ROTHERHAM NHS FOUNDATION TRUST","RFR","285","310","92%","91","99","92%","0","12","0%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1490","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RDZ","434","607","71%","51","94","54%","16","21","76%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1491","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RPY","21","21","100%","1","1","100%","1","1","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1492","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RRJ","7","7","100%","0","0","-","0","0","-"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1493","THE WALTON CENTRE NHS FOUNDATION TRUST","RET","1","1","100%","0","0","-","0","0","-"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1494","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","RRV","162","167","97%","27","27","100%","27","27","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1495","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","RM2","357","362","99%","77","77","100%","56","56","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1496","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","RHM","627","649","97%","115","115","100%","55","56","98%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1497","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","RRK","519","532","98%","37","37","100%","7","7","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1498","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","RA7","144","309","47%","37","49","76%","11","19","58%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1499","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RTX","326","346","94%","37","41","90%","14","14","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1500","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RWW","378","386","98%","50","50","100%","9","9","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1501","WEST SUFFOLK NHS FOUNDATION TRUST","RGR","362","392","92%","16","16","100%","11","11","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1502","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR","742","805","92%","95","99","96%","56","58","97%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1503","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","RBL","-","-","-","-","-","-","-","-","-"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1504","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RRF","307","376","82%","47","50","94%","30","30","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1505","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","202","315","64%","5","5","100%","4","5","80%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1506","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCB","761","859","89%","162","164","99%","127","129","98%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1507","","Total "," 29,253 "," 34,375 ","85.1%"," 5,525 "," 6,143 ","89.9%"," 2,583 "," 2,695 ","95.8%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1508","","","","","","","","","","",""," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1509","","","","","","","","","","",""," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1510","","","","","","","","","","",""," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1511","","","","","","","","","","",""," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1512","","","","","","","","","","",""," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1513","Non-Foundation Trusts",""," January 2014 ","","","","","","","",""," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1514","Org name","Org code"," Number of cases identified "," Number of emergency admissions ","Percentage of cases identified"," Number of cases with diagnostic assessment  "," Number of cases with positive case finding question ","Percentage of cases further assessed","Number of cases referred","Number of cases with positive or inconclusive diagnostic assessment","Percentage of cases referred"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1515","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","464","874","53%","46","95","48%","39","95","41%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1516","BARNET AND CHASE FARM HOSPITALS NHS TRUST","RVL","338","469","72%","17","58","29%","4","4","100%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
"1517","BARTS HEALTH NHS TRUST","R1H","309","940","33%","164","223","74%","22","45","49%"," January 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q4-2013-14-CSV-36KB.csv"
