"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.with.diagnostic.assessment","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"1745","Org name","Org code"," Number of cases identified "," Number of emergency admissions ","Percentage of cases identified"," Number of cases with diagnostic assessment  "," Number of cases with positive case finding question ","Percentage of cases with diagnostic assessment","Number of cases referred","Number of cases with positive or inconclusive diagnostic assessment","Percentage of cases referred"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1746","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","482","641","75%","47","74","64%","44","47","94%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1747","BARTS HEALTH NHS TRUST","R1H","319","753","42%","85","116","73%","71","80","89%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1748","BEDFORD HOSPITAL NHS TRUST","RC1","221","243","91%","20","20","100%","8","8","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1749","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","RXH","175","181","97%","24","24","100%","23","24","96%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1750","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RXQ","323","356","91%","52","52","100%","51","52","98%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1751","CROYDON HEALTH SERVICES NHS TRUST","RJ6","196","205","96%","31","34","91%","30","30","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1752","DARTFORD AND GRAVESHAM NHS TRUST","RN7","191","207","92%","15","15","100%","10","10","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1753","EAST AND NORTH HERTFORDSHIRE NHS TRUST","RWH","349","349","100%","113","113","100%","42","45","93%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1754","EAST CHESHIRE NHS TRUST","RJN","271","277","98%","26","28","93%","10","11","91%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1755","EAST LANCASHIRE HOSPITALS NHS TRUST","RXR","487","510","95%","141","144","98%","37","37","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1756","EAST SUSSEX HEALTHCARE NHS TRUST","RXC","384","446","86%","58","62","94%","36","53","68%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1757","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","RVR","316","408","77%","35","38","92%","20","20","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1758","GEORGE ELIOT HOSPITAL NHS TRUST","RLT","148","161","92%","28","28","100%","0","0","-"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1759","HINCHINGBROOKE HEALTH CARE NHS TRUST","RQQ","178","178","100%","32","32","100%","18","18","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1760","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST","RWA","503","557","90%","47","48","98%","42","42","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1761","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","RYJ","306","351","87%","196","213","92%","41","43","95%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1762","IPSWICH HOSPITAL NHS TRUST","RGQ","390","390","100%","71","72","99%","69","69","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1763","ISLE OF WIGHT NHS TRUST","R1F","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1764","KINGSTON HOSPITAL NHS TRUST","RAX","284","310","92%","51","65","78%","36","36","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1765","LEEDS TEACHING HOSPITALS NHS TRUST","RR8","605","605","100%","42","42","100%","36","38","95%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1766","LEWISHAM AND GREENWICH NHS TRUST","RJ2","603","603","100%","90","90","100%","77","77","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1767","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF","515","517","100%","81","81","100%","65","65","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1768","MID ESSEX HOSPITAL SERVICES NHS TRUST","RQ8","315","347","91%","9","10","90%","7","7","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1769","MID YORKSHIRE HOSPITALS NHS TRUST","RXF","376","383","98%","117","117","100%","60","60","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1770","NORTH BRISTOL NHS TRUST","RVJ","597","623","96%","23","25","92%","24","25","96%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1771","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","RNL","183","246","74%","98","109","90%","11","11","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1772","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RAP","554","607","91%","280","307","91%","4","4","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1773","LONDON NORTHWEST HEALTHCARE NHS TRUST","R1K","348","419","83%","77","84","92%","15","27","56%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1774","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS","303","333","91%","64","64","100%","13","14","93%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1775","NORTHERN DEVON HEALTHCARE NHS TRUST","RBZ","268","272","99%","64","64","100%","16","16","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1776","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1","1393","1591","88%","197","197","100%","97","97","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1777","OXFORD UNIVERSITY HOSPITALS NHS TRUST","RTH","408","618","66%","316","345","92%","155","155","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1778","PENNINE ACUTE HOSPITALS NHS TRUST","RW6","486","540","90%","53","58","91%","31","31","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1779","PORTSMOUTH HOSPITALS NHS TRUST","RHU","600","647","93%","121","121","100%","88","88","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1780","PLYMOUTH HOSPITALS NHS TRUST","RK9","NOT IN MONTH","NOT IN MONTH","NOT IN MONTH","NOT IN MONTH","NOT IN MONTH","NOT IN MONTH","NOT IN MONTH","NOT IN MONTH","NOT IN MONTH"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1781","ROYAL CORNWALL HOSPITALS NHS TRUST","REF","433","433","100%","65","65","100%","4","4","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1782","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RQ6","284","472","60%","31","56","55%","15","19","79%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1783","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","RAN","2","2","100%","0","0","-","0","0","-"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1784","ROYAL UNITED HOSPITAL BATH NHS TRUST","RD1","602","660","91%","42","44","95%","7","7","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1785","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RXK","178","184","97%","19","19","100%","14","14","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1786","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RXW","569","583","98%","15","15","100%","7","7","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1787","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY","111","320","35%","0","10","0%","0","0","-"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1788","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RBN","319","333","96%","49","50","98%","16","16","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1789","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RTP","542","590","92%","91","97","94%","91","91","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1790","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RQW","254","308","82%","61","61","100%","47","47","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1791","THE ROYAL WOLVERHAMPTON NHS TRUST","RL4","378","378","100%","24","24","100%","20","20","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1792","THE WHITTINGTON HOSPITAL NHS TRUST","RKE","174","183","95%","34","35","97%","18","19","95%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1793","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","RWD","896","947","95%","689","778","89%","135","135","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1794","UNIVERSITY HOSPITALS OF NORTH MIDLANDS","RJE","592","604","98%","97","97","100%","49","49","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1795","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","RKB","447","472","95%","64","64","100%","62","62","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1796","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RWE","833","890","94%","290","304","95%","82","82","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1797","WALSALL HEALTHCARE NHS TRUST","RBK","310","339","91%","44","45","98%","12","13","92%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1798","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","RWG","561","573","98%","32","35","91%","32","32","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1799","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RFW","208","217","96%","25","26","96%","15","15","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1800","WESTON AREA HEALTH NHS TRUST","RA3","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1801","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","RWP","619","644","96%","133","153","87%","45","45","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1802","WYE VALLEY NHS TRUST","RLQ","161","177","91%","3","3","100%","3","3","100%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1803","","Total "," 21,550 "," 24,183 ","89.1%"," 4,512 "," 4,873 ","92.6%"," 1,961 "," 2,020 ","97.1%"," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1804","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1805","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1806","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1807","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1808","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1809","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1810","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1811","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1812","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1813","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1814","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1815","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1816","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1817","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1818","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1819","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1820","","","","","","","","","","",""," February 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1821","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","350","388","90%","33","33","100%","7","7","100%"," March 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1822","AIREDALE NHS FOUNDATION TRUST","RCF","244","270","90%","30","30","100%","2","2","100%"," March 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1823","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","339","348","97%","65","65","100%","56","56","100%"," March 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1824","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","267","273","98%","49","49","100%","14","14","100%"," March 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1825","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD","471","493","96%","471","493","96%","56","56","100%"," March 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1826","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","RLU","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," March 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1827","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL","499","541","92%","38","38","100%","20","20","100%"," March 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
"1828","BOLTON NHS FOUNDATION TRUST","RMC","283","297","95%","31","31","100%","26","26","100%"," March 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q4-2014-15-CSV-37KB.csv"
